"Name"	"start"	"end"	"chrom"
"ABCG8"	43838964	43878466	"chr2"
"ABHD1"	27123789	27130812	"chr2"
"ABHD10"	111979010	111993363	"chr3"
"ABHD11"	73736094	73738867	"chr7"
"ABHD12"	25294743	25390983	"chr20"
"ABHD12B"	50872160	50904970	"chr14"
"ABHD13"	108218379	108234255	"chr13"
"ABHD14A"	51971426	51981199	"chr3"
"ABHD14A-ACY1"	51975050	51989183	"chr3"
"ABHD14B"	51968510	51983409	"chr3"
"ABHD15"	29560547	29567137	"chr17"
"ABHD15-AS1"	29560547	29707090	"chr17"
"ABHD16A"	31686949	31703444	"chr6"
"ABHD16B"	63861213	63863306	"chr20"
"ABHD17A"	1876810	1885547	"chr19"
"ABHD17AP2"	148146395	148149566	"chr1"
"ABHD17AP3"	214605470	214608840	"chr1"
"ABHD17AP4"	20667836	20670984	"chr22"
"ABHD17AP6"	20814620	20844257	"chr17"
"ABHD17AP9"	33140850	33143797	"chr16"
"ABHD17B"	71862452	71910931	"chr9"
"ABHD17C"	80679684	80755621	"chr15"
"ABHD2"	89087459	89202360	"chr15"
"ABHD3"	21650897	21704805	"chr18"
"ABHD4"	22598237	22613215	"chr14"
"ABHD5"	43690113	43734371	"chr3"
"ABHD6"	58237506	58295693	"chr3"
"ABHD8"	17292131	17310236	"chr19"
"ABI1"	26746593	26861087	"chr10"
"ABI2"	203328219	203447723	"chr2"
"ABI3"	49210227	49223225	"chr17"
"ABI3BP"	100749156	100993515	"chr3"
"ABL1"	130713946	130887675	"chr9"
"ABL2"	179099327	179229684	"chr1"
"ABLIM1"	114431113	114685003	"chr10"
"ABLIM2"	7965310	8158832	"chr4"
"ABLIM3"	149141483	149260542	"chr5"
"ABO"	133250401	133275214	"chr9"
"ABR"	1003518	1229021	"chr17"
"ABRA"	106759483	106770245	"chr8"
"ABRACL"	139028682	139043302	"chr6"
"ABT1"	26596952	26600744	"chr6"
"ABT1P1"	99022311	99023131	"chr4"
"ABTB1"	127672935	127680920	"chr3"
"ABTB2"	34150988	34358008	"chr11"
"AC000003.1"	10070890	10071004	"chr17"
"AC000029.1"	23136620	23136710	"chr22"
"AC000032.2"	109693117	109693742	"chr1"
"AC000036.4"	50735825	50738139	"chr22"
"AC000041.10"	29437583	29437733	"chr22"
"AC000041.8"	29419155	29423193	"chr22"
"AC000067.1"	19667023	19667555	"chr22"
"AC000068.10"	19456503	19456962	"chr22"
"AC000068.5"	19447893	19450105	"chr22"
"AC000068.9"	19454179	19454605	"chr22"
"AC000077.2"	19630750	19633574	"chr22"
"AC000078.5"	19887289	19887970	"chr22"
"AC000081.2"	19238443	19238739	"chr22"
"AC000089.3"	19792294	19793094	"chr22"
"AC000095.9"	19018043	19018916	"chr22"
"AC000099.1"	127215127	127229921	"chr7"
"AC000111.3"	117560733	117564676	"chr7"
"AC000111.4"	117487737	117487929	"chr7"
"AC000111.5"	117586207	117586416	"chr7"
"AC000111.6"	117604791	117647415	"chr7"
"AC000120.7"	92200014	92206857	"chr7"
"AC000123.4"	127350128	127351523	"chr7"
"AC000124.1"	127476883	127485804	"chr7"
"AC000362.1"	126980967	126981778	"chr7"
"AC000367.1"	126868767	126870532	"chr7"
"AC000370.2"	126378970	126424185	"chr7"
"AC000374.1"	126511135	126512879	"chr7"
"AC000403.1"	76886321	76886400	"chr13"
"AC000403.4"	76887551	76891135	"chr13"
"AC001226.7"	77027944	77028482	"chr13"
"AC002044.4"	73014319	73014476	"chr16"
"AC002056.3"	50754675	50755434	"chr22"
"AC002056.5"	50740593	50743520	"chr22"
"AC002059.10"	29316744	29317220	"chr22"
"AC002064.4"	90266034	90270216	"chr7"
"AC002064.5"	90312496	90322592	"chr7"
"AC002066.1"	116238260	116499465	"chr7"
"AC002066.2"	116345855	116345944	"chr7"
"AC002069.5"	88564793	88566281	"chr7"
"AC002069.6"	88512029	88513187	"chr7"
"AC002070.1"	119580792	119580895	"chr12"
"AC002072.1"	112978229	112978318	"chrX"
"AC002075.3"	93777839	93778514	"chr7"
"AC002075.4"	93669826	93670077	"chr7"
"AC002076.10"	93890913	93893601	"chr7"
"AC002115.5"	35597907	35601501	"chr19"
"AC002115.9"	35608285	35612666	"chr19"
"AC002116.7"	36014508	36045972	"chr19"
"AC002116.8"	36008638	36014235	"chr19"
"AC002117.1"	45150400	45161510	"chr17"
"AC002127.2"	88749470	88749694	"chr7"
"AC002127.4"	88710631	88756725	"chr7"
"AC002128.5"	35251440	35253639	"chr19"
"AC002306.1"	19606350	19608660	"chr19"
"AC002310.10"	30537202	30538231	"chr16"
"AC002310.12"	30534752	30537144	"chr16"
"AC002310.13"	30534227	30558279	"chr16"
"AC002310.17"	30587662	30587920	"chr16"
"AC002310.7"	30572250	30583860	"chr16"
"AC002314.4"	35683778	35684201	"chr19"
"AC002331.1"	26584755	26594813	"chr16"
"AC002365.1"	9967358	9968002	"chrX"
"AC002366.1"	11465953	11466138	"chrX"
"AC002366.3"	11334233	11335901	"chrX"
"AC002368.4"	148498113	148500615	"chrX"
"AC002383.2"	89443974	89494262	"chr7"
"AC002386.1"	109322320	109326315	"chr7"
"AC002389.1"	35553831	35553895	"chr19"
"AC002395.1"	111487478	111487578	"chr12"
"AC002398.11"	35747057	35753415	"chr19"
"AC002398.12"	35754566	35755490	"chr19"
"AC002398.13"	35769144	35771028	"chr19"
"AC002398.5"	35788876	35797885	"chr19"
"AC002398.9"	35745678	35754519	"chr19"
"AC002400.1"	23500905	23501630	"chr16"
"AC002401.1"	50135586	50146176	"chr17"
"AC002429.1"	95156606	95156671	"chr7"
"AC002429.4"	95018407	95018554	"chr7"
"AC002429.5"	95154713	95214332	"chr7"
"AC002451.3"	95596682	95613719	"chr7"
"AC002454.1"	92836483	92917187	"chr7"
"AC002456.2"	90590619	90597353	"chr7"
"AC002463.3"	112622378	112708080	"chr7"
"AC002465.2"	117300861	117322236	"chr7"
"AC002467.7"	107742817	107744581	"chr7"
"AC002472.11"	21031357	21043969	"chr22"
"AC002472.13"	21045960	21064168	"chr22"
"AC002480.2"	22649960	22665533	"chr7"
"AC002480.3"	22563337	22573996	"chr7"
"AC002480.4"	22589705	22591622	"chr7"
"AC002480.5"	22571607	22661792	"chr7"
"AC002486.2"	20588990	20590085	"chr7"
"AC002486.3"	20641558	20641948	"chr7"
"AC002511.1"	35399511	35419385	"chr19"
"AC002511.2"	35424062	35424652	"chr19"
"AC002511.3"	35432957	35434642	"chr19"
"AC002519.6"	31802947	31807973	"chr16"
"AC002519.8"	31788202	31790993	"chr16"
"AC002523.1"	149056716	149057166	"chrX"
"AC002539.1"	70017324	70128859	"chr17"
"AC002539.2"	69948861	69948947	"chr17"
"AC002542.2"	117187548	117187740	"chr7"
"AC002543.2"	116873454	116876376	"chr7"
"AC002550.5"	19706351	19715383	"chr16"
"AC002550.6"	19694035	19694428	"chr16"
"AC002551.1"	27643199	27644663	"chr16"
"AC002553.4"	16084042	16084381	"chr17"
"AC002558.1"	47118502	47118591	"chr17"
"AC002978.1"	111073968	111074089	"chr12"
"AC002979.1"	111302800	111302899	"chr12"
"AC002981.1"	12148318	12148401	"chrX"
"AC002984.2"	36173406	36173853	"chr19"
"AC002985.3"	18907013	18934397	"chr19"
"AC003001.1"	85244095	85244171	"chrX"
"AC003002.4"	57363566	57398584	"chr19"
"AC003002.6"	57389884	57419994	"chr19"
"AC003003.5"	19285783	19310947	"chr16"
"AC003005.2"	57477649	57482996	"chr19"
"AC003005.4"	57487718	57505381	"chr19"
"AC003006.1"	57738465	57738550	"chr19"
"AC003006.7"	57682045	57753575	"chr19"
"AC003009.1"	13331368	13332583	"chr16"
"AC003009.2"	13458326	13458698	"chr16"
"AC003013.1"	109870352	109870419	"chrX"
"AC003045.1"	117439982	117440780	"chr7"
"AC003051.1"	69577251	69903000	"chr17"
"AC003075.4"	17279834	17299357	"chr7"
"AC003080.4"	111971222	111971988	"chr7"
"AC003084.2"	117998858	118004045	"chr7"
"AC003088.1"	110432239	110534754	"chr7"
"AC003090.1"	25593351	25750994	"chr7"
"AC003092.1"	94022833	94066661	"chr7"
"AC003092.2"	94071759	94077157	"chr7"
"AC003101.1"	31571142	31575659	"chr17"
"AC003102.3"	44299574	44315315	"chr17"
"AC003104.1"	42270517	42272683	"chr17"
"AC003658.1"	14764975	14765117	"chrX"
"AC003664.1"	13299184	13306760	"chr17"
"AC003665.1"	47897330	47941410	"chr17"
"AC003666.1"	10216598	10216699	"chrX"
"AC003681.1"	29944206	29944299	"chr22"
"AC003682.16"	57625032	57626950	"chr19"
"AC003682.17"	57664280	57665039	"chr19"
"AC003956.1"	15124160	15126174	"chr19"
"AC003958.2"	41402416	41425049	"chr17"
"AC003958.6"	41334632	41335733	"chr17"
"AC003968.1"	126040229	126040300	"chr7"
"AC003973.1"	21940820	21941533	"chr19"
"AC003973.4"	22017959	22036315	"chr19"
"AC003973.5"	22043500	22050005	"chr19"
"AC003976.2"	36165624	36264527	"chr17"
"AC003984.1"	84532476	84584322	"chr7"
"AC003985.1"	25321302	25326815	"chr7"
"AC003986.5"	19144293	19146253	"chr7"
"AC003986.6"	19112474	19114271	"chr7"
"AC003986.7"	19119933	19121916	"chr7"
"AC003988.1"	80246409	80312456	"chr7"
"AC003989.3"	111394875	111395043	"chr7"
"AC003989.4"	111411319	111411883	"chr7"
"AC003991.3"	88219359	88292466	"chr7"
"AC004000.1"	119424065	119424116	"chrX"
"AC004000.2"	119524455	119524563	"chrX"
"AC004004.2"	22501699	22501948	"chr19"
"AC004006.2"	82657035	82657411	"chr7"
"AC004009.3"	27361843	27409938	"chr7"
"AC004012.1"	95471835	95473998	"chr7"
"AC004014.3"	108909453	108952666	"chr7"
"AC004014.4"	108994031	108995029	"chr7"
"AC004016.1"	24900812	24900905	"chr7"
"AC004019.10"	17418697	17419828	"chr22"
"AC004019.13"	17580157	17589192	"chr22"
"AC004022.7"	95348718	95348910	"chr7"
"AC004022.8"	95350164	95351229	"chr7"
"AC004041.2"	132630589	132664272	"chr5"
"AC004051.2"	109303035	109316135	"chr4"
"AC004052.1"	104278107	104278191	"chr4"
"AC004053.1"	104490965	104697592	"chr4"
"AC004053.2"	104796128	104796221	"chr4"
"AC004054.1"	91108023	91112790	"chr4"
"AC004057.1"	113214046	113217170	"chr4"
"AC004062.2"	111063583	111064227	"chr4"
"AC004063.1"	104556960	104568877	"chr4"
"AC004066.2"	105526596	105527397	"chr4"
"AC004066.3"	105540190	105552355	"chr4"
"AC004067.5"	109692004	109692703	"chr4"
"AC004069.1"	105102891	105104004	"chr4"
"AC004069.2"	105137280	105140619	"chr4"
"AC004070.1"	140216035	140216804	"chrX"
"AC004074.4"	73237647	73238709	"chrX"
"AC004076.5"	57449689	57453011	"chr19"
"AC004076.7"	57394183	57438457	"chr19"
"AC004076.9"	57437970	57477536	"chr19"
"AC004079.1"	27022537	27022676	"chr7"
"AC004112.4"	112328189	112409623	"chr7"
"AC004112.5"	112373733	112374250	"chr7"
"AC004112.7"	112374324	112375429	"chr7"
"AC004125.3"	24236104	24252863	"chr16"
"AC004129.7"	25185623	25188724	"chr7"
"AC004129.9"	25212170	25212965	"chr7"
"AC004156.3"	663482	668063	"chr19"
"AC004158.2"	72425485	72665009	"chr16"
"AC004158.3"	72425948	72429173	"chr16"
"AC004159.1"	80096600	80097215	"chr7"
"AC004160.4"	11406955	11414078	"chr7"
"AC004166.6"	74906673	74913256	"chr7"
"AC004221.2"	1238179	1239522	"chr19"
"AC004231.2"	40921430	40975926	"chr17"
"AC004237.1"	132688681	132721583	"chr5"
"AC004257.1"	15221015	15222297	"chr19"
"AC004381.6"	20806429	20849668	"chr16"
"AC004381.7"	20743663	20766620	"chr16"
"AC004383.3"	134522702	134522990	"chrX"
"AC004386.3"	74342713	74342860	"chrX"
"AC004386.4"	74376125	74376885	"chrX"
"AC004447.2"	18990893	18993610	"chr19"
"AC004448.2"	19419035	19424357	"chr17"
"AC004448.5"	19439143	19460995	"chr17"
"AC004449.6"	637105	637537	"chr19"
"AC004453.8"	44467897	44468304	"chr7"
"AC004458.1"	96468331	96468422	"chr7"
"AC004460.1"	30801306	30801388	"chr15"
"AC004461.4"	19055801	19056512	"chr22"
"AC004470.1"	22761306	22761390	"chrX"
"AC004471.10"	19124309	19128449	"chr22"
"AC004471.9"	19121529	19124503	"chr22"
"AC004477.1"	48048365	48048430	"chr17"
"AC004485.3"	24196662	24255719	"chr7"
"AC004490.1"	2212029	2215565	"chr19"
"AC004492.1"	107294885	107294951	"chr7"
"AC004510.3"	15827045	15835853	"chr19"
"AC004520.1"	26060339	26060438	"chr7"
"AC004535.2"	10702676	10707406	"chr7"
"AC004538.3"	11181732	11520175	"chr7"
"AC004540.4"	26372144	26376701	"chr7"
"AC004540.5"	26398593	26494256	"chr7"
"AC004541.1"	81294538	81294621	"chr7"
"AC004543.1"	19719388	19719451	"chr7"
"AC004543.2"	19813685	19818090	"chr7"
"AC004549.6"	27733395	27740395	"chr7"
"AC004552.1"	24348809	24348906	"chrX"
"AC004562.1"	69961707	69983538	"chr17"
"AC004593.3"	29199540	29208970	"chr7"
"AC004595.1"	21422269	21422368	"chr7"
"AC004603.4"	42821863	42826878	"chr19"
"AC004623.2"	1376773	1377520	"chr19"
"AC004637.1"	3672582	3674295	"chr19"
"AC004655.1"	24698122	24698191	"chrX"
"AC004673.1"	23120832	23120905	"chrX"
"AC004674.1"	13297661	13297761	"chrX"
"AC004691.5"	30796691	30803410	"chr7"
"AC004692.4"	43239066	43249268	"chr7"
"AC004692.5"	43274159	43274582	"chr7"
"AC004699.1"	15052930	15053074	"chr19"
"AC004702.2"	20185082	20322973	"chr17"
"AC004744.3"	18892096	18899433	"chr7"
"AC004745.1"	97291514	97291596	"chr7"
"AC004769.1"	130277625	130277693	"chr5"
"AC004775.5"	132817248	132818000	"chr5"
"AC004791.2"	15851993	15864904	"chr19"
"AC004812.1"	120172039	120172126	"chr12"
"AC004819.1"	29883860	29883945	"chr22"
"AC004824.1"	17413631	17413694	"chr1"
"AC004832.1"	30411646	30411755	"chr22"
"AC004837.1"	39685011	39685098	"chr7"
"AC004837.3"	39609717	39610280	"chr7"
"AC004837.4"	39609610	39610290	"chr7"
"AC004837.5"	39700341	39703296	"chr7"
"AC004840.8"	2384121	2388597	"chr7"
"AC004840.9"	2437763	2447850	"chr7"
"AC004846.1"	73208378	73208463	"chr14"
"AC004850.1"	38704222	38704315	"chr7"
"AC004851.1"	74571347	74571424	"chr7"
"AC004854.4"	44848416	44849568	"chr7"
"AC004854.5"	44919669	44920329	"chr7"
"AC004862.6"	80330192	80391453	"chr7"
"AC004866.1"	81335106	81335183	"chr7"
"AC004866.3"	81431731	81432796	"chr7"
"AC004869.2"	46477822	46481578	"chr7"
"AC004869.3"	46476457	46477940	"chr7"
"AC004870.3"	47000620	47079128	"chr7"
"AC004870.4"	46969702	47027481	"chr7"
"AC004870.5"	47052793	47053674	"chr7"
"AC004875.1"	121574669	121574754	"chr7"
"AC004878.2"	75225433	75234310	"chr7"
"AC004878.8"	75232928	75233924	"chr7"
"AC004893.10"	98998538	98999930	"chr7"
"AC004893.11"	99013165	99048240	"chr7"
"AC004895.1"	6185275	6185360	"chr7"
"AC004895.4"	6081103	6093085	"chr7"
"AC004899.3"	48846426	48852898	"chr7"
"AC004901.1"	46890625	47049678	"chr7"
"AC004906.3"	2944035	2947091	"chr7"
"AC004911.2"	145269514	145270384	"chr7"
"AC004915.1"	120009634	120009701	"chr7"
"AC004920.2"	50843578	50843732	"chr7"
"AC004920.3"	50839363	50841992	"chr7"
"AC004924.1"	67933214	67933362	"chr11"
"AC004925.1"	124777292	124790810	"chr7"
"AC004938.5"	44511025	44511332	"chr7"
"AC004941.3"	149398204	149401456	"chr7"
"AC004941.5"	149321865	149322092	"chr7"
"AC004943.1"	72787693	72787773	"chr16"
"AC004945.1"	79353410	79354392	"chr7"
"AC004947.2"	26551822	26557200	"chr7"
"AC004951.5"	43984994	43990207	"chr7"
"AC004951.6"	44004046	44007866	"chr7"
"AC004967.7"	97969005	97972254	"chr7"
"AC004969.1"	90171341	90171424	"chr7"
"AC004980.1"	76697502	76697654	"chr7"
"AC004980.10"	76650401	76650897	"chr7"
"AC004980.11"	76533703	76540390	"chr7"
"AC004980.7"	76549360	76627982	"chr7"
"AC004980.8"	76521611	76522074	"chr7"
"AC004980.9"	76524515	76532692	"chr7"
"AC004984.1"	3840518	3840590	"chr7"
"AC004985.12"	43961590	43973325	"chr7"
"AC004987.10"	39833286	39833793	"chr7"
"AC004987.9"	39833571	39834718	"chr7"
"AC004988.1"	40538127	40546928	"chr7"
"AC004997.1"	30374324	30374878	"chr22"
"AC005000.1"	115703812	115703867	"chrX"
"AC005007.3"	11006399	11006876	"chr7"
"AC005008.2"	81175508	81199115	"chr7"
"AC005008.3"	81191398	81192009	"chr7"
"AC005009.1"	86775081	86776022	"chr7"
"AC005009.2"	86784226	86786670	"chr7"
"AC005013.5"	28957667	28959345	"chr7"
"AC005014.5"	16583782	16586757	"chr7"
"AC005017.2"	28279211	28279700	"chr7"
"AC005019.2"	13871856	13872513	"chr7"
"AC005019.3"	13854355	13859025	"chr7"
"AC005020.1"	99586915	99586999	"chr7"
"AC005022.1"	41101604	41133507	"chr7"
"AC005027.3"	41667168	41705335	"chr7"
"AC005029.1"	40964667	40979939	"chr7"
"AC005033.6"	74618856	74620979	"chr2"
"AC005034.2"	75598071	75598559	"chr2"
"AC005034.3"	75651288	75651627	"chr2"
"AC005037.1"	200844240	200845461	"chr2"
"AC005037.2"	200843186	200843299	"chr2"
"AC005037.3"	200963263	201009102	"chr2"
"AC005037.4"	201066691	201067191	"chr2"
"AC005037.6"	201214653	201214950	"chr2"
"AC005040.3"	106963193	106963674	"chr2"
"AC005041.11"	74413020	74413481	"chr2"
"AC005042.2"	158548425	158549224	"chr2"
"AC005042.3"	158703287	158703460	"chr2"
"AC005042.4"	158658337	158735002	"chr2"
"AC005042.5"	158685903	158753775	"chr2"
"AC005048.1"	108036846	108036936	"chr7"
"AC005052.1"	119810257	119810359	"chrX"
"AC005062.2"	19918981	20140453	"chr7"
"AC005071.1"	100220027	100220120	"chr7"
"AC005071.2"	100372544	100372609	"chr7"
"AC005076.5"	87151423	87152420	"chr7"
"AC005077.12"	76090431	76108779	"chr7"
"AC005077.14"	76071469	76074963	"chr7"
"AC005077.5"	76173733	76177205	"chr7"
"AC005077.7"	76117725	76132187	"chr7"
"AC005077.8"	76113026	76113400	"chr7"
"AC005077.9"	76108434	76108763	"chr7"
"AC005082.12"	23206013	23208045	"chr7"
"AC005083.1"	20217577	20221700	"chr7"
"AC005088.1"	102238321	102238406	"chr7"
"AC005094.2"	21400920	21401613	"chr7"
"AC005102.1"	75835663	75836141	"chr7"
"AC005104.3"	241351340	241353104	"chr2"
"AC005105.2"	28615097	28615888	"chr7"
"AC005150.1"	162740668	162742048	"chr4"
"AC005150.2"	162742591	162742677	"chr4"
"AC005150.3"	162709588	162709655	"chr4"
"AC005152.3"	72021851	72034092	"chr17"
"AC005154.6"	30516309	30594809	"chr7"
"AC005154.7"	30523143	30524535	"chr7"
"AC005154.8"	30544053	30544431	"chr7"
"AC005158.1"	42218409	42218514	"chr7"
"AC005159.1"	82290077	82290162	"chr7"
"AC005160.3"	40775558	40785217	"chr7"
"AC005161.1"	110928318	110928397	"chr7"
"AC005162.4"	29080284	29082527	"chr7"
"AC005162.5"	28987028	28988899	"chr7"
"AC005176.1"	39631300	39631446	"chr19"
"AC005176.2"	39638685	39642401	"chr19"
"AC005176.3"	39644502	39644612	"chr19"
"AC005178.1"	133720495	133720934	"chr5"
"AC005187.1"	110298484	110298550	"chr4"
"AC005189.6"	43767290	43767599	"chr7"
"AC005195.1"	133625845	133625948	"chr5"
"AC005197.2"	18881680	18883376	"chr19"
"AC005204.1"	42673581	42673680	"chr19"
"AC005220.3"	53940160	53942508	"chr20"
"AC005224.2"	14210488	14217922	"chr17"
"AC005227.1"	72070845	72070915	"chr14"
"AC005229.1"	148730829	148730928	"chr7"
"AC005229.5"	148580401	148580799	"chr7"
"AC005229.7"	148637179	148637587	"chr7"
"AC005235.1"	198299363	198375097	"chr2"
"AC005237.2"	241118725	241118943	"chr2"
"AC005237.4"	241015599	241064116	"chr2"
"AC005253.2"	18557775	18561560	"chr19"
"AC005253.4"	18568506	18569375	"chr19"
"AC005255.3"	14792318	14792533	"chr19"
"AC005255.5"	14852032	14852944	"chr19"
"AC005255.6"	14863786	14864715	"chr19"
"AC005256.1"	1748056	1748745	"chr19"
"AC005262.2"	3121116	3122128	"chr19"
"AC005262.3"	3118665	3119304	"chr19"
"AC005262.4"	3130717	3131398	"chr19"
"AC005264.2"	3141576	3155175	"chr19"
"AC005276.1"	125917871	125933832	"chr7"
"AC005281.1"	12496429	12541910	"chr7"
"AC005281.2"	12570125	12571392	"chr7"
"AC005284.1"	11053788	11053935	"chr17"
"AC005288.1"	39297405	39297489	"chr17"
"AC005300.5"	17192936	17193308	"chr22"
"AC005301.8"	16746869	16748645	"chr22"
"AC005304.1"	13932720	13940594	"chr17"
"AC005306.3"	1989401	1990370	"chr19"
"AC005307.1"	28418483	28429490	"chr19"
"AC005307.3"	28435388	28727777	"chr19"
"AC005324.6"	15735023	15749192	"chr17"
"AC005324.7"	15761614	15763769	"chr17"
"AC005329.7"	1392170	1396467	"chr19"
"AC005330.2"	1321225	1322846	"chr19"
"AC005336.4"	15910582	15911824	"chr19"
"AC005336.5"	15902300	15903238	"chr19"
"AC005339.2"	4654964	4655524	"chr19"
"AC005351.1"	145997218	145998003	"chr5"
"AC005355.1"	134436711	134492519	"chr5"
"AC005355.2"	134506552	134509229	"chr5"
"AC005356.1"	4324667	4328340	"chr16"
"AC005357.1"	27983032	27983332	"chr19"
"AC005358.3"	12671862	12706135	"chr17"
"AC005363.11"	1971655	1971896	"chr16"
"AC005363.9"	1963745	1964095	"chr16"
"AC005375.1"	13500254	13500328	"chr17"
"AC005382.1"	32477284	32477355	"chr19"
"AC005387.2"	18532908	18536188	"chr19"
"AC005387.3"	18531613	18532632	"chr19"
"AC005391.2"	928259	928817	"chr19"
"AC005392.13"	43153279	43160862	"chr19"
"AC005394.1"	28602379	28648303	"chr19"
"AC005412.1"	29301154	29301228	"chr17"
"AC005481.5"	157614023	157618765	"chr7"
"AC005484.5"	74031797	74082863	"chr14"
"AC005487.2"	108598375	108614267	"chr7"
"AC005488.11"	72969814	72971727	"chr7"
"AC005498.3"	56536156	56538575	"chr19"
"AC005498.4"	56535299	56535763	"chr19"
"AC005510.3"	108415220	108416639	"chr4"
"AC005513.1"	13375929	13376013	"chr19"
"AC005517.3"	15506866	15507354	"chr17"
"AC005518.2"	147671711	147673143	"chr7"
"AC005519.4"	74289127	74294425	"chr14"
"AC005522.6"	76361768	76362113	"chr7"
"AC005522.7"	76972679	76976961	"chr7"
